year,maize_area_mha,maize_production_mt,rice_paddy_area_mha,rice_paddy_production_mt,wheat_area_mha,wheat_production_mt,wheat_production_mt_yoy_pct,rice_paddy_production_mt_yoy_pct,maize_production_mt_yoy_pct,total_staple_production_mt
1984,127763.898,450449.905,144242.47,465342.803,230771.567,512330.225,4.652,3.867,29.782,1428122.933
1985,130512.374,485527.217,143739.792,468164.482,229999.646,499527.392,-2.499,0.606,7.787,1453219.091
1986,131803.65,478176.534,144470.662,468675.152,227751.914,528685.222,5.837,0.109,-1.514,1475536.908
1987,129971.991,453115.706,141324.296,461439.818,220554.829,505075.847,-4.466,-1.544,-5.241,1419631.371
1988,130010.246,403050.141,146402.48,487457.812,218377.348,500656.538,-0.875,5.638,-11.049,1391164.491
1989,131782.846,476874.41,148932.737,514421.55,226787.295,538206.114,7.5,5.532,18.316,1529502.074
1990,130854.68,483387.901,146960.266,518570.207,230752.487,591330.111,9.871,0.806,1.366,1593288.219
1991,133613.935,494367.007,146206.32,516418.184,222929.759,546668.131,-7.553,-0.415,2.271,1557453.322
1992,136171.803,532691.674,147709.288,531068.523,222122.892,564987.847,3.351,2.837,7.752,1628748.044
1993,131466.416,477156.263,145406.587,526878.758,222502.955,564402.165,-0.104,-0.789,-10.425,1568437.186
1994,138058.21,568446.462,147114.753,539655.159,215015.272,527005.033,-6.626,2.425,19.132,1635106.654
1995,135907.51,517234.69,149239.603,545516.641,216030.248,542396.087,2.92,1.086,-9.009,1605147.418
1996,139197.174,585681.07,149922.595,554840.638,226744.581,584210.418,7.709,1.709,13.233,1724732.126
1997,140739.437,584562.152,150984.809,575534.705,226003.705,613345.31,4.987,3.73,-0.191,1773442.167
1998,138588.816,614801.705,150448.728,571217.17,219945.126,592888.795,-3.335,-0.75,5.173,1778907.67
1999,137144.274,607170.918,156633.597,611926.35,213215.527,587465.398,-0.915,7.127,-1.241,1806562.666
2000,136970.401,591934.795,153854.294,596690.737,215117.197,585479.852,-0.338,-2.49,-2.509,1774105.384
2001,137337.471,614986.879,151726.933,599497.731,214304.242,589579.961,0.7,0.47,3.894,1804064.571
2002,137427.564,603501.069,148730.232,576264.743,213696.974,574751.497,-2.515,-3.875,-1.868,1754517.309
2003,144478.621,644601.935,148538.127,586033.958,208970.813,568138.334,-1.151,1.695,6.81,1798774.227
2004,147422.627,728982.52,150805.986,606577.799,216291.584,631654.103,11.18,3.506,13.09,1967214.422
2005,148183.028,714224.246,154294.775,629620.878,219561.452,626720.292,-0.781,3.799,-2.025,1970565.416
2006,148072.581,706821.71,155329.005,640781.701,212422.091,601878.914,-3.964,1.773,-1.036,1949482.325
2007,159250.484,793296.449,154067.572,648842.288,216468.618,611107.13,1.533,1.258,12.234,2053245.867
2008,163461.333,828108.236,159266.922,686875.959,221567.416,680105.121,11.291,5.862,4.388,2195089.316
2009,159536.0,822089.49,156923.127,679898.279,224547.995,684659.724,0.67,-1.016,-0.727,2186647.493
2010,165257.537,851980.704,160482.985,691542.453,216705.03,653707.911,-4.521,1.713,3.636,2197231.068
2011,172620.259,886742.985,162665.998,724232.689,220839.223,698000.562,6.776,4.727,4.08,2308976.236
2012,180272.211,873744.366,161407.278,730384.02,215329.221,660022.512,-5.441,0.849,-1.466,2264150.898
2013,186866.247,1015521.648,162752.798,734485.118,218456.131,713672.298,8.128,0.561,16.226,2463679.064
2014,186369.093,1040230.32,164094.11,742553.33,220817.307,731940.921,2.56,1.098,2.433,2514724.571
2015,190590.241,1052811.884,162062.322,738286.708,220860.229,737763.843,0.796,-0.575,1.209,2528862.435
2016,195068.039,1126408.78,161404.618,734901.945,221601.845,765075.377,3.702,-0.458,6.991,2626386.102
2017,197833.313,1137672.644,161867.138,742154.772,216304.908,762082.347,-0.391,0.987,1.0,2641909.763
2018,195152.609,1112875.856,164740.985,766667.909,212621.803,730694.073,-4.119,3.303,-2.18,2610237.838
2019,196273.912,1138850.843,161088.391,755088.171,213812.618,760643.589,4.099,-1.51,2.334,2654582.603
2020,200258.195,1153946.744,164466.054,771604.783,219849.949,775796.489,1.992,2.187,1.326,2701348.016
2021,206393.508,1203326.825,166731.753,791062.869,219346.931,783124.2,0.945,2.522,4.279,2777513.894
2022,204754.614,1160145.773,165032.821,778637.858,217546.825,807987.812,3.175,-1.571,-3.588,2746771.443
2023,211099.135,1238582.561,168922.448,804744.456,218736.996,794567.417,-1.661,3.353,6.761,2837894.434
2024,209954.361,1218205.574,172414.425,820223.278,219518.805,798481.711,0.493,1.923,-1.645,2836910.563
